Name,Identifier,Weight,Sector,Shares Held
Motorola Solutions Inc.,MSI,0.084712,Information Technology,1788976
DTE Energy Company,DTE,0.084688,Utilities,2001986
AutoZone Inc.,AZO,0.08419,Consumer Discretionary,294021
United Continental Holdings Inc.,UAL,0.08408,Industrials,2600593
IQVIA Holdings Inc,IQV,0.084067,Health Care,1785569
Cerner Corporation,CERN,0.083748,Health Care,3478111
Fifth Third Bancorp,FITB,0.082798,Financials,7563903
Twitter Inc.,TWTR,0.08259,Information Technology,7224064
Citizens Financial Group Inc.,CFG,0.082484,Financials,5396626
Nucor Corporation,NUE,0.08245,Materials,3509664
Eversource Energy,ES,0.082402,Utilities,3496581
Boston Properties Inc.,BXP,0.082079,Real Estate,1702943
Mylan N.V.,MYL,0.081706,Health Care,5656089
Willis Towers Watson Public Limited Company,WLTW,0.081533,Financials,1469037
Global Payments Inc.,GPN,0.081176,Information Technology,1760230
Xilinx Inc.,XLNX,0.081059,Information Technology,2799183
IHS Markit Ltd.,INFO,0.080923,Industrials,3978124
Microchip Technology Incorporated,MCHP,0.080735,Information Technology,2593264
Twenty-First Century Fox Inc. Class B,FOX,0.080699,Consumer Discretionary,4845727
Dollar Tree Inc.,DLTR,0.07994,Consumer Discretionary,2623363
Best Buy Co. Inc.,BBY,0.079581,Consumer Discretionary,2706863
FleetCor Technologies Inc.,FLT,0.079327,Information Technology,988902
Clorox Company,CLX,0.079031,Consumer Staples,1422539
Harris Corporation,HRS,0.078391,Industrials,1307926
CBS Corporation Class B,CBS,0.076885,Consumer Discretionary,3793443
Tyson Foods Inc. Class A,TSN,0.076859,Consumer Staples,3283568
Cintas Corporation,CTAS,0.076574,Industrials,953612
Verisk Analytics Inc,VRSK,0.076022,Industrials,1702724
Kellogg Company,K,0.075301,Consumer Staples,2755344
Freeport-McMoRan Inc.,FCX,0.074858,Materials,14866358
W.W. Grainger Inc.,GWW,0.074576,Industrials,569112
SBA Communications Corp. Class A,SBAC,0.074537,Real Estate,1270849
AMETEK Inc.,AME,0.074229,Industrials,2555117
Huntington Bancshares Incorporated,HBAN,0.073399,Financials,12105592
Hartford Financial Services Group Inc.,HIG,0.073136,Financials,3951367
Textron Inc.,TXT,0.072968,Industrials,2824926
TransDigm Group Incorporated,TDG,0.071306,Industrials,543220
Marathon Oil Corporation,MRO,0.071118,Energy,9413473
Laboratory Corporation of America Holdings,LH,0.071087,Health Care,1128834
Western Digital Corporation,WDC,0.070797,Information Technology,3301451
National Oilwell Varco Inc.,NOV,0.070468,Energy,4214527
Comerica Incorporated,CMA,0.069772,Financials,1921017
FirstEnergy Corp.,FE,0.069664,Utilities,4945674
SVB Financial Group,SIVB,0.069506,Financials,584496
Fastenal Company,FAST,0.069494,Industrials,3173732
Republic Services Inc.,RSG,0.069492,Industrials,2517129
Realty Income Corporation,O,0.068451,Real Estate,3137796
KLA-Tencor Corporation,KLAC,0.068046,Information Technology,1709348
L3 Technologies Inc,LLL,0.067995,Industrials,865983
Hess Corporation,HES,0.067799,Energy,2901589
Total System Services Inc.,TSS,0.066921,Information Technology,1822411
Equifax Inc.,EFX,0.06685,Industrials,1327008
Apache Corporation,APA,0.066741,Energy,4216143
MSCI Inc. Class A,MSCI,0.066693,Financials,1002741
Essex Property Trust Inc.,ESS,0.066595,Real Estate,728628
Cardinal Health Inc.,CAH,0.066569,Health Care,3442699
Skyworks Solutions Inc.,SWKS,0.066408,Information Technology,2018530
Newmont Mining Corporation,NEM,0.066049,Materials,5886091
ABIOMED Inc.,ABMD,0.065907,Health Care,463625
Broadridge Financial Solutions Inc.,BR,0.065651,Information Technology,1291600
American Airlines Group Inc.,AAL,0.065647,Industrials,4597537
Evergy Inc.,EVRG,0.065463,Utilities,2992676
Ameren Corporation,AEE,0.065461,Utilities,2688379
ResMed Inc.,RMD,0.065257,Health Care,1571184
Ulta Beauty Inc,ULTA,0.064981,Consumer Discretionary,635268
American Water Works Company Inc.,AWK,0.064938,Utilities,1964324
Host Hotels & Resorts Inc.,HST,0.064557,Real Estate,8179432
Omnicom Group Inc,OMC,0.064443,Consumer Discretionary,2507847
McCormick & Company Incorporated,MKC,0.064004,Consumer Staples,1331315
ANSYS Inc.,ANSS,0.063793,Information Technology,928424
Entergy Corporation,ETR,0.063326,Utilities,1995292
D.R. Horton Inc.,DHI,0.062948,Consumer Discretionary,3789154
Expedia Group Inc.,EXPE,0.06225,Consumer Discretionary,1347136
Mettler-Toledo International Inc.,MTD,0.062087,Health Care,284555
Waters Corporation,WAT,0.062065,Health Care,872374
VeriSign Inc.,VRSN,0.061915,Information Technology,1055109
Synopsys Inc.,SNPS,0.061721,Information Technology,1634253
Quest Diagnostics Incorporated,DGX,0.06106,Health Care,1499063
Take-Two Interactive Software Inc.,TTWO,0.061045,Information Technology,1262072
Principal Financial Group Inc.,PFG,0.060755,Financials,2938454
Genuine Parts Company,GPC,0.06065,Consumer Discretionary,1614439
XL Group Ltd,XL,0.06045,Financials,2849538
E*TRADE Financial Corporation,ETFC,0.060139,Financials,2924381
Darden Restaurants Inc.,DRI,0.059919,Consumer Discretionary,1359109
Ball Corporation,BLL,0.0598,Materials,3824278
Vulcan Materials Company,VMC,0.059647,Materials,1458380
AmerisourceBergen Corporation,ABC,0.059464,Health Care,1813211
Hershey Company,HSY,0.059367,Consumer Staples,1534815
Citrix Systems Inc.,CTXS,0.059194,Information Technology,1420641
Tapestry Inc.,TPR,0.058868,Consumer Discretionary,3175444
Lennar Corporation Class A,LEN,0.058628,Consumer Discretionary,3018677
Conagra Brands Inc.,CAG,0.058416,Consumer Staples,4342803
Seagate Technology PLC,STX,0.058378,Information Technology,3185356
Church & Dwight Co. Inc.,CHD,0.058224,Consumer Staples,2699739
Lincoln National Corporation,LNC,0.058153,Financials,2398124
Eastman Chemical Company,EMN,0.058077,Materials,1606089
CMS Energy Corporation,CMS,0.058034,Utilities,3089649
CBRE Group Inc. Class A,CBRE,0.058032,Real Estate,3335995
Noble Energy Inc.,NBL,0.057882,Energy,5316515
Xylem Inc.,XYL,0.057756,Industrials,1985036
WestRock Co.,WRK,0.057619,Materials,2829417
Brown-Forman Corporation Class B,BF.B,0.057308,Consumer Staples,2872793
Gartner Inc.,IT,0.057132,Information Technology,1002380
CarMax Inc.,KMX,0.057042,Consumer Discretionary,1964778
Kohl's Corporation,KSS,0.055829,Consumer Discretionary,1856096
CA Inc.,CA,0.055681,Information Technology,3422046
C.H. Robinson Worldwide Inc.,CHRW,0.055526,Industrials,1539481
MGM Resorts International,MGM,0.055398,Consumer Discretionary,5529348
Arthur J. Gallagher & Co.,AJG,0.055118,Financials,2011073
Expeditors International of Washington Inc.,EXPD,0.054931,Industrials,1961256
Dover Corporation,DOV,0.05449,Industrials,1700783
Alexandria Real Estate Equities Inc.,ARE,0.054205,Real Estate,1135817
Copart Inc.,CPRT,0.054183,Industrials,2242996
Vornado Realty Trust,VNO,0.053923,Real Estate,1909327
Cadence Design Systems Inc.,CDNS,0.053885,Information Technology,3120227
Loews Corporation,L,0.053494,Financials,2889592
Baker Hughes a GE Company Class A,BHGE,0.053476,Energy,4650304
United Rentals Inc.,URI,0.05232,Industrials,916649
Akamai Technologies Inc.,AKAM,0.05216,Information Technology,1892393
Cooper Companies Inc.,COO,0.052137,Health Care,540798
Incyte Corporation,INCY,0.052025,Health Care,1941609
HCP Inc.,HCP,0.051894,Real Estate,5183502
Arista Networks Inc.,ANET,0.051755,Information Technology,520880
Henry Schein Inc.,HSIC,0.051708,Health Care,1730190
HollyFrontier Corporation,HFC,0.051662,Energy,1933400
Kansas City Southern,KSU,0.051459,Industrials,1168807
Tiffany & Co.,TIF,0.051457,Consumer Discretionary,1124046
J.M. Smucker Company,SJM,0.051052,Consumer Staples,1253355
CenterPoint Energy Inc.,CNP,0.05105,Utilities,4760370
Martin Marietta Materials Inc.,MLM,0.050908,Materials,691844
TechnipFMC Plc,FTI,0.050671,Energy,4789655
Advance Auto Parts Inc.,AAP,0.050662,Consumer Discretionary,816473
Symantec Corporation,SYMC,0.050411,Information Technology,6857864
Molson Coors Brewing Company Class B,TAP,0.050311,Consumer Staples,2041635
U.S. Dollar,CASH_USD,0.049636,Unassigned,133763610
Mohawk Industries Inc.,MHK,0.049521,Consumer Discretionary,699749
Masco Corporation,MAS,0.049229,Industrials,3498635
Chipotle Mexican Grill Inc.,CMG,0.048905,Consumer Discretionary,273974
CF Industries Holdings Inc.,CF,0.04868,Materials,2574868
EQT Corporation,EQT,0.048431,Energy,2782290
Mid-America Apartment Communities Inc.,MAA,0.048294,Real Estate,1255542
Raymond James Financial Inc.,RJF,0.048284,Financials,1417148
Extra Space Storage Inc.,EXR,0.047665,Real Estate,1385540
F5 Networks Inc.,FFIV,0.047588,Information Technology,674340
Cboe Global Markets Inc,CBOE,0.047214,Financials,1236517
Cincinnati Financial Corporation,CINF,0.046987,Financials,1630946
Hasbro Inc.,HAS,0.04656,Consumer Discretionary,1241970
Alliance Data Systems Corporation,ADS,0.046423,Information Technology,525699
Huntington Ingalls Industries Inc.,HII,0.045801,Industrials,497438
Hormel Foods Corporation,HRL,0.04564,Consumer Staples,2979578
Universal Health Services Inc. Class B,UHS,0.045521,Health Care,968072
FMC Corporation,FMC,0.045446,Materials,1476647
Tractor Supply Company,TSCO,0.044928,Consumer Discretionary,1346664
Norwegian Cruise Line Holdings Ltd.,NCLH,0.044696,Consumer Discretionary,2264124
Michael Kors Holdings Ltd,KORS,0.044683,Consumer Discretionary,1653844
Macy's Inc,M,0.044353,Consumer Discretionary,3380317
Albemarle Corporation,ALB,0.044288,Materials,1222110
Wynn Resorts Limited,WYNN,0.044114,Consumer Discretionary,929867
Nasdaq Inc.,NDAQ,0.044029,Financials,1274761
Hologic Inc.,HOLX,0.044001,Health Care,3060922
UDR Inc.,UDR,0.04397,Real Estate,2952782
J.B. Hunt Transport Services Inc.,JBHT,0.043732,Industrials,957539
NRG Energy Inc.,NRG,0.043673,Utilities,3364626
Zions Bancorporation,ZION,0.043617,Financials,2204482
Mosaic Company,MOS,0.043481,Materials,3869826
Packaging Corporation of America,PKG,0.043104,Materials,1041241
PVH Corp.,PVH,0.043041,Consumer Discretionary,850373
Nektar Therapeutics,NKTR,0.042991,Health Care,1755395
LKQ Corporation,LKQ,0.042745,Consumer Discretionary,3417180
PerkinElmer Inc.,PKI,0.042554,Health Care,1214701
Newell Brands Inc,NWL,0.042295,Consumer Discretionary,5358816
Viacom Inc. Class B,VIAB,0.042283,Consumer Discretionary,3894333
Snap-on Incorporated,SNA,0.042161,Industrials,626358
International Flavors & Fragrances Inc.,IFF,0.041981,Materials,871069
Duke Realty Corporation,DRE,0.041703,Real Estate,3939204
Iron Mountain Inc.,IRM,0.041603,Real Estate,3091153
Alliant Energy Corp,LNT,0.041566,Utilities,2553941
Varian Medical Systems Inc.,VAR,0.041442,Health Care,1024135
Perrigo Co. Plc,PRGO,0.040823,Health Care,1447548
Invesco Ltd.,IVZ,0.04073,Financials,4531972
Cabot Oil & Gas Corporation,COG,0.040505,Energy,4982129
Franklin Resources Inc.,BEN,0.040358,Financials,3594213
Regency Centers Corporation,REG,0.040046,Real Estate,1626057
Torchmark Corporation,TMK,0.039846,Financials,1211833
Juniper Networks Inc.,JNPR,0.039598,Information Technology,3852447
Robert Half International Inc.,RHI,0.039382,Industrials,1408872
Federal Realty Investment Trust,FRT,0.039343,Real Estate,807882
DaVita Inc.,DVA,0.038779,Health Care,1540704
Qorvo Inc.,QRVO,0.038531,Information Technology,1382105
SL Green Realty Corp.,SLG,0.037937,Real Estate,992796
NiSource Inc,NI,0.037875,Utilities,3687509
Arconic Inc.,ARNC,0.037507,Industrials,4611233
Avery Dennison Corporation,AVY,0.037489,Materials,961001
Pinnacle West Capital Corporation,PNW,0.036749,Utilities,1234868
DENTSPLY SIRONA Inc.,XRAY,0.036528,Health Care,2530615
Everest Re Group Ltd.,RE,0.036294,Financials,445984
Interpublic Group of Companies Inc.,IPG,0.036271,Consumer Discretionary,4325100
Jacobs Engineering Group Inc.,JEC,0.036088,Industrials,1317076
AES Corporation,AES,0.03596,Utilities,7297327
BorgWarner Inc.,BWA,0.035698,Consumer Discretionary,2177998
Western Union Company,WU,0.035646,Information Technology,5066556
Nielsen Holdings Plc,NLSN,0.035603,Industrials,3694514
FLIR Systems Inc.,FLIR,0.035417,Information Technology,1513827
Discovery Inc. Class C,DISCK,0.035276,Consumer Discretionary,3738378
A. O. Smith Corporation,AOS,0.034377,Industrials,1597830
Allegion PLC,ALLE,0.034082,Industrials,1032804
Unum Group,UNM,0.034066,Financials,2504208
Alaska Air Group Inc.,ALK,0.033838,Industrials,1360256
Cimarex Energy Co.,XEC,0.033394,Energy,1052943
Whirlpool Corporation,WHR,0.033182,Consumer Discretionary,707061
Affiliated Managers Group Inc.,AMG,0.033123,Financials,620579
Fortune Brands Home & Security Inc.,FBHS,0.032954,Industrials,1647648
Fluor Corporation,FLR,0.032446,Industrials,1550908
DISH Network Corporation Class A,DISH,0.032355,Consumer Discretionary,2525938
Garmin Ltd.,GRMN,0.032345,Consumer Discretionary,1262730
Harley-Davidson Inc.,HOG,0.031516,Consumer Discretionary,1927239
Campbell Soup Company,CPB,0.031345,Consumer Staples,2109162
Nordstrom Inc.,JWN,0.031313,Consumer Discretionary,1296042
PulteGroup Inc.,PHM,0.030936,Consumer Discretionary,2970087
Kimco Realty Corporation,KIM,0.030407,Real Estate,4687965
Ralph Lauren Corporation Class A,RL,0.030325,Consumer Discretionary,623556
Pentair plc,PNR,0.029356,Industrials,1819485
Jefferies Financial Group Inc.,JEF,0.028795,Financials,3346308
Apartment Investment and Management Company Class A,AIV,0.028252,Real Estate,1735929
Flowserve Corporation,FLS,0.0281,Industrials,1443521
Helmerich & Payne Inc.,HP,0.028041,Energy,1201402
Sealed Air Corporation,SEE,0.027656,Materials,1840235
Hanesbrands Inc.,HBI,0.026769,Consumer Discretionary,4084939
L Brands Inc.,LB,0.026677,Consumer Discretionary,2707760
People's United Financial Inc.,PBCT,0.02649,Financials,3838093
Gap Inc.,GPS,0.026129,Consumer Discretionary,2426487
Macerich Company,MAC,0.02519,Real Estate,1186592
Leggett & Platt Incorporated,LEG,0.02466,Consumer Discretionary,1458348
IPG Photonics Corporation,IPGP,0.024389,Information Technology,418632
Foot Locker Inc.,FL,0.024315,Consumer Discretionary,1361765
Goodyear Tire & Rubber Company,GT,0.023993,Consumer Discretionary,2753741
Coty Inc. Class A,COTY,0.02342,Consumer Staples,5131316
Assurant Inc.,AIZ,0.023311,Financials,607860
Xerox Corporation,XRX,0.023205,Information Technology,2314451
TripAdvisor Inc.,TRIP,0.023042,Consumer Discretionary,1226488
Envision Healthcare Corp.,EVHC,0.022496,Health Care,1336556
H&R Block Inc.,HRB,0.02218,Consumer Discretionary,2258987
Newfield Exploration Company,NFX,0.021805,Energy,2204115
Stericycle Inc.,SRCL,0.021708,Industrials,944351
Mattel Inc.,MAT,0.021592,Consumer Discretionary,3795694
SCANA Corporation,SCG,0.020904,Utilities,1535830
Quanta Services Inc.,PWR,0.020727,Industrials,1630412
News Corporation Class A,NWSA,0.01993,Consumer Discretionary,4229079
Brighthouse Financial Inc.,BHF,0.019719,Financials,1321600
Discovery Inc. Class A,DISCA,0.017645,Consumer Discretionary,1721611
Under Armour Inc. Class A,UAA,0.015541,Consumer Discretionary,2052041
Under Armour Inc. Class C,UA,0.01479,Consumer Discretionary,2078040
News Corporation Class B,NWS,0.00618,Consumer Discretionary,1266491
